t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
2445,2.5,15.0,12.5,4100,1,0.0,6688,46.7,8,50.0,0,1,7200,2,0.00
2461,2.5,15.0,12.5,4100,1,0.0,6626,46.5,9,50.0,0,1,7200,2,0.00
2492,2.6,15.0,12.4,4100,1,0.0,6629,46.4,9,50.0,0,1,7200,2,0.00
2507,2.7,15.0,12.3,4100,1,0.0,6699,47.0,9,50.0,0,1,7200,2,0.00
2523,2.8,15.0,12.2,4100,1,0.0,6702,46.5,9,50.0,0,1,7200,2,0.00
2538,2.7,15.0,12.3,4100,1,0.0,6640,46.8,9,50.0,0,1,7200,2,0.00
2569,2.4,15.0,12.6,4100,1,0.0,6644,47.1,1,50.0,0,1,7200,2,0.00
2585,2.3,15.0,12.7,4100,1,0.0,6647,47.6,3,50.0,0,1,7200,2,0.00
2601,2.2,15.0,12.8,4100,1,0.0,6714,47.1,5,50.0,0,1,7200,2,0.00
2632,2.2,15.0,12.8,4100,1,0.0,6717,46.7,7,50.0,0,1,7200,2,0.00
2648,2.2,15.0,12.8,4100,1,0.0,6656,47.0,9,50.0,0,1,7200,2,0.00
2663,2.2,15.0,12.8,4100,1,0.0,6659,47.1,9,50.0,0,1,7200,2,0.00
2678,2.3,15.0,12.7,4100,1,0.0,6726,46.6,9,50.0,0,1,7200,2,0.00
2709,2.4,15.0,12.6,4100,1,0.0,6729,46.6,9,50.0,0,1,7200,2,0.00
2725,2.5,15.0,12.5,4100,1,0.0,6665,46.5,9,50.0,0,1,7200,2,0.00
2741,2.6,15.0,12.4,4100,1,0.0,6668,47.0,0,50.0,0,1,7200,2,0.00
2771,2.6,15.0,12.4,4100,1,0.0,6735,46.6,2,50.0,0,1,7200,2,0.00
2786,2.5,15.0,12.5,4100,1,0.0,6737,46.8,4,50.0,0,1,7200,2,0.00
2801,2.5,15.0,12.5,4100,1,0.0,6674,46.8,6,50.0,0,1,7200,2,0.00
2833,2.5,15.0,12.5,4100,1,0.0,6677,46.8,8,50.0,0,1,7200,2,0.00
2912,2.5,15.0,12.5,4100,1,0.0,6685,46.6,69,50.0,0,1,7200,2,0.00
2927,2.5,15.0,12.5,4100,1,0.0,6687,46.9,9,50.0,0,1,7200,2,0.00
2942,2.6,15.0,12.4,4100,1,0.0,6753,46.6,1,50.0,0,1,7200,2,0.00
2958,2.7,15.0,12.3,4100,1,0.0,6755,47.5,3,50.0,0,1,7200,2,0.00
2989,2.6,15.0,12.4,4100,1,0.0,6691,46.9,5,50.0,0,1,7200,2,0.00
3004,2.5,15.0,12.5,4100,1,0.0,6694,46.5,7,50.0,0,1,7200,2,0.00
3020,2.4,15.0,12.6,4100,1,0.0,6761,46.9,9,49.0,0,1,7200,2,0.00
3051,2.4,15.0,12.6,4100,1,0.0,6762,46.7,9,49.0,0,1,7200,2,0.00
3066,2.5,15.0,12.5,4100,1,0.0,6699,46.5,9,49.0,0,1,7200,2,0.00
3082,2.6,15.0,12.4,4100,1,0.0,6700,47.2,9,49.0,0,1,7200,2,0.00
3112,2.6,15.0,12.4,4100,1,0.0,6767,46.6,9,49.0,0,1,7200,2,0.00
3128,2.6,15.0,12.4,4100,1,0.0,6770,46.7,0,49.0,0,1,7200,2,0.00
3144,2.5,15.0,12.5,4100,1,0.0,6705,46.8,2,49.0,0,1,7200,2,0.00
3158,2.5,15.0,12.5,4100,1,0.0,6706,47.0,4,49.0,0,1,7200,2,0.00
3189,2.5,15.0,12.5,4100,1,0.0,6773,46.3,6,49.0,0,1,7200,2,0.00
3205,2.4,15.0,12.6,4100,1,0.0,6775,47.0,8,49.0,0,1,7200,2,0.00
3220,2.6,15.0,12.4,4100,1,0.0,6709,46.3,9,49.0,0,1,7200,2,0.00
3251,2.6,15.0,12.4,4100,1,0.0,6712,46.6,9,49.0,0,1,7200,2,0.00
3267,2.9,15.0,12.1,4100,1,0.0,6778,46.1,9,49.0,0,1,7200,2,0.00
3283,2.8,15.0,12.2,4100,1,0.0,6781,46.7,9,49.0,0,1,7200,2,0.00
3299,2.7,15.0,12.3,4100,1,0.0,6717,47.3,9,49.0,0,1,7200,2,0.00
3329,2.4,15.0,12.6,4100,1,0.0,6718,47.1,1,49.0,0,1,7200,2,0.00
3392,2.5,15.0,12.5,4100,1,0.0,6790,46.0,55,49.0,0,1,7200,2,0.00
3424,2.9,15.0,12.1,4100,1,0.0,6790,46.7,3,49.0,0,1,7200,2,0.00
3439,2.9,15.0,12.1,4100,1,0.0,6790,46.6,4,49.0,0,1,7200,2,0.00
3455,2.8,15.0,12.2,4100,1,0.0,6727,46.9,6,49.0,0,1,7200,2,0.00
3471,2.6,15.0,12.4,4100,1,0.0,6727,46.8,8,49.0,0,1,7200,2,0.00
3502,2.5,15.0,12.5,4100,1,0.0,6796,46.4,9,49.0,0,1,7200,2,0.00
3517,2.5,15.0,12.5,4100,1,0.0,6796,46.8,9,49.0,0,1,7200,2,0.00
3532,2.6,15.0,12.4,4100,1,0.0,6730,46.2,9,49.0,0,1,7200,2,0.00
3563,2.7,15.0,12.3,4100,1,0.0,6730,46.6,9,49.0,0,1,7200,2,0.00
3579,2.8,15.0,12.2,4100,1,0.0,6798,46.4,0,49.0,0,1,7200,2,0.00
3595,2.9,15.0,12.1,4100,1,0.0,6799,46.3,2,49.0,0,1,7200,2,0.00
3610,2.9,15.0,12.1,4100,1,0.0,6734,46.3,4,49.0,0,1,7200,2,0.00
3641,2.9,15.0,12.1,4100,1,0.0,6802,46.7,5,49.0,0,1,7200,2,0.00
3657,3.0,15.0,12.0,4100,1,0.0,6802,46.3,7,49.0,0,1,7200,2,0.00
3673,2.9,15.0,12.1,4100,1,0.0,6737,46.6,9,49.0,0,1,7200,2,0.00
3704,2.8,15.0,12.2,4100,1,0.0,6738,46.9,9,49.0,0,1,7200,2,0.00
3719,2.7,15.0,12.3,4100,1,0.0,6805,45.9,9,49.0,0,1,7200,2,0.00
3734,2.6,15.0,12.4,4100,1,0.0,6805,47.1,9,49.0,0,1,7200,2,0.00
3749,2.7,15.0,12.3,4100,1,0.0,6740,46.1,9,49.0,0,1,7200,2,0.00
3781,3.0,15.0,12.0,4100,1,0.0,6741,45.9,1,49.0,0,1,7200,2,0.00
3797,3.0,15.0,12.0,4100,1,0.0,6807,46.1,3,49.0,0,1,7200,2,0.00
3813,3.2,15.0,11.8,4100,1,0.0,6807,46.2,4,49.0,0,1,7200,2,0.00
3844,3.1,15.0,11.9,4100,1,0.0,6743,46.7,6,49.0,0,1,7200,2,0.00
3905,3.1,15.0,11.9,4100,1,0.0,6744,46.7,76,49.0,0,1,7200,2,0.00
3934,3.0,15.0,12.0,4100,1,0.0,6743,46.3,6,49.0,0,1,7200,2,0.00
